"A「何人ですか。」<br>B「3人です。」","A 「 何[なん] 人[にん]ですか。」<br>B 「 3 人[にん]です。」","A: How many people are there?<br>B: We have 3 people.<br><br>なんにん - How Many People?","A「何人ですか。」<br>B「3人です。」","[sound:JLPT_Tango_N5_0061.mp3]","単語N5"
"大人","大人[おとな]","Adult","大人","[sound:JLPT_Tango_N5_0062.mp3]","単語N5"
"子供","子供[こども]","Child","子供","[sound:JLPT_Tango_N5_0063.mp3]","単語N5"
"男の人","男[おとこ]の 人[ひと]","Man","男の人","[sound:JLPT_Tango_N5_0064.mp3]","単語N5"
"女の人","女[おんな]の 人[ひと]","Woman","女の人","[sound:JLPT_Tango_N5_0065.mp3]","単語N5"
"男の子","男[おとこ]の 子[こ]","Boy","男の子","[sound:JLPT_Tango_N5_0066.mp3]","単語N5"
"女の子","女[おんな]の 子[こ]","Girl","女の子","[sound:JLPT_Tango_N5_0067.mp3]","単語N5"
"私の国はマレーシアです。","私[わたし]の 国[くに]はマレーシアです。","I am from Malaysia.<br><br>くに - Country","私の国はマレーシアです。","[sound:JLPT_Tango_N5_0068.mp3]","単語N5"
"中国にディズニーランドがあります。","中国[ちゅうごく]にディズニーランドがあります。","There is a Disneyland in China.<br><br>ある - Have / Exists","中国にディズニーランドがあります。","[sound:JLPT_Tango_N5_0069.mp3]","単語N5"
"A「お国はどちらですか。」<br>B「ケニアです。」","A 「お 国[くに]はどちらですか。」<br>B 「ケニアです。」","""A: Which country are you from.<br>B: I'm from Kenya.<br><br>どちら - Which""","A「お国はどちらですか。」<br>B「ケニアです。」","[sound:JLPT_Tango_N5_0070.mp3]","単語N5"
"私はアメリカから来ました。","私[わたし]はアメリカから 来[き]ました。","I came from the United States.<br><br>～からきました - Came from","私はアメリカから来ました。","[sound:JLPT_Tango_N5_0071.mp3]","単語N5"
"私はイギリス人です。","私[わたし]はイギリス 人[じん]です。","I am British.<br><br>～じん - Person from (Nationality)","私はイギリス人です。","[sound:JLPT_Tango_N5_0072.mp3]","単語N5"
"日本の地図はありますか。","日本[にほん]の 地図[ちず]はありますか。","Do you have a map of Japan?<br><br>ちず - Map","日本の地図はありますか。","[sound:JLPT_Tango_N5_0073.mp3]","単語N5"
"世界の地図はありますか。","世界[せかい]の 地図[ちず]はありますか。","Do you have a map of the world?<br><br>せかい - World","世界の地図はありますか。","[sound:JLPT_Tango_N5_0074.mp3]","単語N5"
"日本","日本[にほん]","Japan","日本","[sound:JLPT_Tango_N5_0075.mp3]","単語N5"
"インド","インド","India","インド","[sound:JLPT_Tango_N5_0076.mp3]","単語N5"
"インドネシア","インドネシア","Indonesia","インドネシア","[sound:JLPT_Tango_N5_0077.mp3]","単語N5"
"韓国","韓国[かんこく]","South Korea","韓国","[sound:JLPT_Tango_N5_0078.mp3]","単語N5"
"タイ","タイ","Thailand","タイ","[sound:JLPT_Tango_N5_0079.mp3]","単語N5"
"台湾","台湾[たいわん]","Taiwan","台湾","[sound:JLPT_Tango_N5_0080.mp3]","単語N5"
"中国","中国[ちゅうごく]","China","中国","[sound:JLPT_Tango_N5_0081.mp3]","単語N5"
"ネパール","ネパール","Nepal","ネパール","[sound:JLPT_Tango_N5_0082.mp3]","単語N5"
"フィリピン","フィリピン","Philippines","フィリピン","[sound:JLPT_Tango_N5_0083.mp3]","単語N5"
"ベトナム","ベトナム","Vietnam","ベトナム","[sound:JLPT_Tango_N5_0084.mp3]","単語N5"
"マレーシア","マレーシア","Malaysia","マレーシア","[sound:JLPT_Tango_N5_0085.mp3]","単語N5"
"ミャンマー","ミャンマー","Myanmar, Burma","ミャンマー","[sound:JLPT_Tango_N5_0086.mp3]","単語N5"
"トルコ","トルコ","Turkey","トルコ","[sound:JLPT_Tango_N5_0087.mp3]","単語N5"
"オーストラリア","オーストラリア","Australia","オーストラリア","[sound:JLPT_Tango_N5_0088.mp3]","単語N5"
"ニュージーランド","ニュージーランド","New Zealand","ニュージーランド","[sound:JLPT_Tango_N5_0089.mp3]","単語N5"
"アメリカ","アメリカ","United States","アメリカ","[sound:JLPT_Tango_N5_0090.mp3]","単語N5"
"カナダ","カナダ","Canada","カナダ","[sound:JLPT_Tango_N5_0091.mp3]","単語N5"
"メキシコ","メキシコ","Mexico","メキシコ","[sound:JLPT_Tango_N5_0092.mp3]","単語N5"
"ブラジル","ブラジル","Brazil","ブラジル","[sound:JLPT_Tango_N5_0093.mp3]","単語N5"
"ロシア","ロシア","Russia","ロシア","[sound:JLPT_Tango_N5_0094.mp3]","単語N5"
"イギリス","イギリス","Britain","イギリス","[sound:JLPT_Tango_N5_0095.mp3]","単語N5"
"フランス","フランス","France","フランス","[sound:JLPT_Tango_N5_0096.mp3]","単語N5"
"ドイツ","ドイツ","Germany","ドイツ","[sound:JLPT_Tango_N5_0097.mp3]","単語N5"
"スイス","スイス","Switzerland","スイス","[sound:JLPT_Tango_N5_0098.mp3]","単語N5"
"イタリア","イタリア","Italy","イタリア","[sound:JLPT_Tango_N5_0099.mp3]","単語N5"
"スペイン","スペイン","Spain","スペイン","[sound:JLPT_Tango_N5_0100.mp3]","単語N5"
"エジプト","エジプト","Egypt","エジプト","[sound:JLPT_Tango_N5_0101.mp3]","単語N5"
"ケニア","ケニア","Kenya","ケニア","[sound:JLPT_Tango_N5_0102.mp3]","単語N5"
"山田さんは日本語学校の先生です。","山田[やまだ]さんは 日本語[にほんご] 学校[がっこう]の 先生[せんせい]です。","Yamada-san is a Japanese teacher.<br><br>先生[せんせい] - Teacher","山田さんは日本語学校の先生です。","[sound:JLPT_Tango_N5_0103.mp3]","単語N5"
"弟は学生です。","弟[おとうと]は 学生[がくせい]です。","My younger brother is a student.<br><br>学生[がくせい] - Student","弟は学生です。","[sound:JLPT_Tango_N5_0104.mp3]","単語N5"
"ヒエンさんはベトナムの留学生です。","ヒエンさんはベトナムの 留学生[りゅうがくせい]です。","Hien-san is a foreign student from Vietnam.<br><br>りゅうがくせい - Foreign Student","ヒエンさんはベトナムの留学生です。","[sound:JLPT_Tango_N5_0105.mp3]","単語N5"
"学校は日本にあります。","学校[がっこう]は 日本[にほん]にあります。","The school is in Japan.<br><br>学校[がっこう] - School","学校は日本にあります。","[sound:JLPT_Tango_N5_0106.mp3]","単語N5"
"日本語を勉強します。","日本語[にほんご]を 勉強[べんきょう]します。","I study Japanese.<br><br>べんきょう（する） - Study","日本語を勉強します。","[sound:JLPT_Tango_N5_0107.mp3]","単語N5"
"ヒエンさんは日本語学校の学生です。","ヒエンさんは 日本語[にほんご] 学校[がっこう]の 学生[がくせい]です。","Hien-san is a student at the Japanese language school.<br><br>にほんご 学校[がっこう] - Japanese School","ヒエンさんは日本語学校の学生です。","[sound:JLPT_Tango_N5_0108.mp3]","単語N5"
"アリさんは小学校の先生です。","アリさんは 小学校[しょうがっこう]の 先生[せんせい]です。","Ali-san is an elementary school teacher.<br><br>小学校[しょうがっこう] - Elementary School","アリさんは小学校の先生です。","[sound:JLPT_Tango_N5_0109.mp3]","単語N5"
